1;1;0
1;2;0
1;3;1
1;4;1
1;5;1
1;6;1
1;7;0
1;8;0
1;9;0
1;10;0
1;11;0
1;12;0
1;13;0
1;14;0
1;15;0
1;16;0
1;17;0
1;18;0
1;19;0
1;20;0
1;21;0
2;1;0
2;2;0
2;3;1
2;4;1
2;5;1
2;6;1
2;7;1
2;8;0
2;9;0
2;10;0
2;11;0
2;12;0
2;13;0
2;14;0
2;15;0
2;16;0
2;17;0
2;18;0
2;19;0
2;20;0
2;21;0
3;1;0
3;2;0
3;3;1
3;4;1
3;5;1
3;6;1
3;7;1
3;8;0
3;9;0
3;10;0
3;11;0
3;12;0
3;13;0
3;14;0
3;15;0
3;16;0
3;17;0
3;18;0
3;19;0
3;20;0
3;21;0
4;1;0
4;2;0
4;3;1
4;4;1
4;5;1
4;6;1
4;7;1
4;8;1
4;9;0
4;10;0
4;11;0
4;12;0
4;13;0
4;14;0
4;15;0
4;16;0
4;17;0
4;18;0
4;19;0
4;20;0
4;21;0
5;1;0
5;2;0
5;3;1
5;4;1
5;5;1
5;6;1
5;7;1
5;8;1
5;9;1
5;10;1
5;11;0
5;12;0
5;13;0
5;14;0
5;15;0
5;16;0
5;17;0
5;18;0
5;19;0
5;20;0
5;21;0
6;1;0
6;2;0
6;3;1
6;4;1
6;5;1
6;6;1
6;7;1
6;8;1
6;9;1
6;10;1
6;11;1
6;12;1
6;13;0
6;14;0
6;15;0
6;16;0
6;17;0
6;18;0
6;19;0
6;20;0
6;21;1
7;1;0
7;2;0
7;3;0
7;4;1
7;5;1
7;6;1
7;7;1
7;8;1
7;9;1
7;10;1
7;11;1
7;12;1
7;13;1
7;14;1
7;15;1
7;16;1
7;17;1
7;18;1
7;19;1
7;20;1
7;21;1
8;1;0
8;2;0
8;3;0
8;4;1
8;5;1
8;6;1
8;7;1
8;8;1
8;9;1
8;10;1
8;11;1
8;12;1
8;13;1
8;14;1
8;15;1
8;16;1
8;17;1
8;18;1
8;19;1
8;20;1
8;21;1
9;1;0
9;2;0
9;3;0
9;4;0
9;5;1
9;6;1
9;7;1
9;8;1
9;9;1
9;10;1
9;11;1
9;12;1
9;13;1
9;14;1
9;15;1
9;16;1
9;17;1
9;18;1
9;19;1
9;20;1
9;21;1
10;1;0
10;2;0
10;3;0
10;4;0
10;5;0
10;6;0
10;7;1
10;8;1
10;9;1
10;10;1
10;11;1
10;12;1
10;13;1
10;14;1
10;15;1
10;16;1
10;17;1
10;18;1
10;19;1
10;20;1
10;21;1
11;1;0
11;2;0
11;3;0
11;4;0
11;5;0
11;6;0
11;7;0
11;8;1
11;9;1
11;10;1
11;11;1
11;12;1
11;13;1
11;14;1
11;15;1
11;16;1
11;17;1
11;18;1
11;19;1
11;20;1
11;21;0
12;1;0
12;2;0
12;3;0
12;4;0
12;5;0
12;6;0
12;7;0
12;8;0
12;9;0
12;10;0
12;11;1
12;12;1
12;13;1
12;14;1
12;15;1
12;16;1
12;17;1
12;18;1
12;19;0
12;20;0
12;21;0
13;1;0
13;2;0
13;3;0
13;4;0
13;5;0
13;6;0
13;7;0
13;8;0
13;9;0
13;10;0
13;11;0
13;12;0
13;13;0
13;14;0
13;15;0
13;16;0
13;17;0
13;18;0
13;19;0
13;20;0
13;21;0
14;1;0
14;2;0
14;3;0
14;4;0
14;5;0
14;6;0
14;7;0
14;8;0
14;9;0
14;10;0
14;11;0
14;12;0
14;13;0
14;14;0
14;15;0
14;16;0
14;17;0
14;18;0
14;19;0
14;20;0
14;21;0
